"cpg","seqnames","start","end","GREAT_annotation","UCSC_RefGene_Group","UCSC_RefGene_Accession","UCSC_RefGene_Name","Relation_to_Island","state","estimate","se","pVal.fixed","pVal.random","pValQ","direction","pVal.final","fdr","GASPARONI_estimate","GASPARONI_se","GASPARONI_pValue","GASPARONI_fdr","LONDON_estimate","LONDON_se","LONDON_pValue","LONDON_fdr","MtSinai_estimate","MtSinai_se","MtSinai_pValue","MtSinai_fdr","ROSMAP_estimate","ROSMAP_se","ROSMAP_pValue","ROSMAP_fdr","isDEJager","isMtSinai","isLunnon","isGasparoni","isAnyPreviousStudy","isGasparoniNeuron","isGasparoniGlia","isGasparoniGeneNeuron","isGasparoniGeneGlia","isDEJager_gene","isMtSinai_gene","isLunnon_gene","isGasparoni_gene","isAnyPreviousStudy_gene"
"cg04874795","chr16",86477638,86477639,"FOXF1 (-66494); IRF8 (+545230)",NA,NA,NA,"OpenSea","Weak Repressed PolyComb",-0.0710851481724515,0.00941064401092609,4.23075608660243e-14,4.23075608660243e-14,0.471545217088295,"----",4.23075608660243e-14,1.7347498160695e-09,-0.0585422109570045,0.0302021689311862,0.0587321057615836,0.999927573044146,-0.0830755939026769,0.0169766250543809,4.25999971449223e-06,0.054867944322717,-0.0900335036781302,0.0213569333046993,4.75820592743785e-05,0.1049725,-0.0557771908122553,0.0148522501867518,0.000188366092871083,0.2455018,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"cg18751141","chr7",27138173,27138174,"HOXA1 (-2581)",NA,NA,NA,"S_Shore","Repressed PolyComb",0.0660425386936211,0.0087584886737994,4.68519478621359e-14,4.68519478621359e-14,0.626251813386732,"++++",4.68519478621359e-14,1.75958346689734e-09,0.0250618478976437,0.0387545579569382,0.521052057947246,0.999927573044146,0.0592833444637499,0.014948475080037,0.000145536275835642,0.125443086793072,0.0718714161434055,0.0214519526819394,0.00106988271424693,0.2731966,0.073883870204897,0.0132199125648767,3.35219169211455e-08,0.003618716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg14216068","chr7",27146445,27146446,"HOXA2 (-4016)","3'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island","Repressed PolyComb",0.0722630594661501,0.00963550871553158,6.39825566071357e-14,4.26847404855183e-11,0.301389529113458,"++++",6.39825566071357e-14,2.21810297684007e-09,0.0566130403632821,0.0378277224400225,0.141327258318629,0.999927573044146,0.070235951060256,0.0152395380317235,1.31541271697486e-05,0.0673839596503691,0.118351618804363,0.026636722363706,1.94073054532289e-05,0.07882794,0.0618671953990532,0.0151501478877651,4.98133956189182e-05,0.14732584704408,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"cg01964852","chr7",27146262,27146263,"HOXA2 (-3833)","3'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island","Repressed PolyComb",0.0646980316576537,0.00863994825654925,6.98017289944201e-14,6.98017289944201e-14,0.729372793903606,"++++",6.98017289944201e-14,2.24699244389716e-09,0.0515105453468637,0.033800978705043,0.134370677460094,0.999927573044146,0.056786407545788,0.0129061378663755,2.93746166485077e-05,0.0832800855687584,0.0836154045728267,0.0237698063776182,0.000609078058359816,0.231961514694588,0.0700817460858991,0.0145135421304935,1.71105850594546e-06,0.0388863261075141,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"cg00921266","chr7",27153663,27153664,"HOXA2 (-11234); HOXA3 (+5550)","5'UTR;TSS200","NM_030661;NM_153631;NM_153632","HOXA3","N_Shore","Repressed PolyComb",0.0979330297049576,0.0131013460169344,7.71828750865146e-14,1.38538017181798e-08,0.18650955950885,"++++",7.71828750865146e-14,2.31895948197433e-09,0.0502955434359238,0.0423858859095241,0.241473657732056,0.999927573044146,0.114794854247526,0.0230139002494043,2.90719903903394e-06,0.0504055760155087,0.142527781595811,0.0317274962300299,1.59304094534235e-05,0.0711547706638229,0.0771523815185595,0.020464217725864,0.000177872693453677,0.244181891959323,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"cg09490371","chr2",233253024,233253025,"ALPPL2 (-18528); ALPP (+9781)","TSS1500","NR_028501","ECEL1P2","Island","Repressed PolyComb",0.071433252037161,0.00960115937371206,1.00635594126225e-13,1.00635594126225e-13,0.879266939740043,"++++",1.00635594126225e-13,2.66787919899039e-09,0.0895837904835944,0.0381335741817588,0.0231630956348304,0.999927573044146,0.0684549258125859,0.0161992570006342,5.64747645847408e-05,0.0966685351450836,0.0809634138762168,0.0196310789122398,6.79289621285921e-05,0.1188892,0.0645457081276859,0.0163194783450564,8.48060083656663e-05,0.1869889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg09144964","chr7",27150262,27150263,"HOXA2 (-7833); HOXA3 (+8951)","5'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island","Repressed PolyComb",0.0594357828896275,0.00798467427120642,9.78792742179967e-14,9.78792742179967e-14,0.878679763294435,"++++",9.78792742179967e-14,2.66787919899039e-09,0.0449649551627951,0.0300598900573273,0.141523711439007,0.999927573044146,0.0653629429606858,0.0138304168039898,8.30516994008803e-06,0.0556020164243186,0.0659834120400664,0.0196673669757789,0.00105362915822059,0.2719573,0.0547205076228416,0.012157981174845,8.00804534410507e-06,0.0735723,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"cg12307200","chr3",188664632,188664633,"TPRG1 (-225130); LPP (+733912)",NA,NA,NA,"N_Shore","Flanking Active TSS",-0.0572172326403344,0.00772353050118377,1.28053379749859e-13,1.14005255282083e-06,0.136618445494178,"----",1.28053379749859e-13,3.20613649548708e-09,-0.0242128526234297,0.022005057221804,0.276912768535094,0.999927573044146,-0.0465706430273408,0.0134748526517189,0.000834710349125698,0.230141640619829,-0.053060259869153,0.0215080749005709,0.0150016734623551,0.5111613,-0.076533736441809,0.0119273528132582,2.66673755765462e-10,5.757526e-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"cg13390284","chr1",65531864,65531865,"JAK1 (-99678); AK4 (-81648)",NA,NA,NA,"N_Shore","Active TSS",0.0500074469300245,0.00678290735485414,1.67371946414727e-13,3.31778524329804e-06,0.0918575116656263,"++++",1.67371946414727e-13,3.80793386866235e-09,0.043761638676195,0.0199037665725294,0.0329700675410796,0.999927573044146,0.0504127484643763,0.0106974518109077,8.75733022945481e-06,0.0556020164243186,0.0206885030393919,0.0155657908335736,0.186255093099717,0.7916859,0.0710036458776672,0.0125536366179608,2.31275742381983e-08,0.003328852,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"cg14103343","chr19",49220223,49220224,"MAMSTR (+2754); FUT2 (+20992)","Body;TSS200","NM_001130915;NM_182574","MAMSTR","N_Shelf","Flanking Active TSS",0.0634903098047429,0.00861319141509213,1.68988023239024e-13,3.81738502478769e-07,0.125795958483527,"++++",1.68988023239024e-13,3.80793386866235e-09,0.0525641278267242,0.0406998844728996,0.202980462983027,0.999927573044146,0.0400827758968445,0.0133775975523805,0.00352168282811231,0.352705925313924,0.0819258639683493,0.0182816606006734,1.66487812604953e-05,0.07164069,0.0826327811480507,0.0152571988254215,8.55925421324391e-08,0.006159853,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"cg05731218","chr2",216769199,216769200,"FN1 (-468305); MREG (+109146)",NA,NA,NA,"OpenSea","Quiescent/Low",-0.0576278777789011,0.0078298728589837,1.83907846924655e-13,2.53674131883452e-05,0.0608435335013387,"----",1.83907846924655e-13,3.94679375775089e-09,-0.0317277832554574,0.0205290931791493,0.129077234943786,0.999927573044146,-0.0509546711818226,0.014054867649126,0.000475235138700196,0.184369352897725,-0.0352755211840192,0.0188122049795118,0.0631255597119898,0.6588589,-0.0838065660271851,0.0128558168209378,1.41141676174348e-10,5.757526e-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"cg12864235","chr5",27038782,27038783,"CDH9 (-90)","TSS200","NM_016279","CDH9","OpenSea","Active TSS",0.0694662410912233,0.00946469797070365,2.14377976743976e-13,2.14377976743976e-13,0.535203345935362,"++++",2.14377976743976e-13,4.39158157586778e-09,0.0411654038961154,0.028056224207668,0.149113217496164,0.999927573044146,0.0767052723377771,0.0145458931242892,8.98093121647427e-07,0.0299880057106433,0.0868597584313251,0.022595732947385,0.0001922811991003,0.1635479,0.0593887157038106,0.0176560101554505,0.000813869808177212,0.3954622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg09502865","chr16",88600155,88600156,"ZC3H18 (-36633); ZFPM1 (+80431)","Body","NM_153813","ZFPM1","Island","Active TSS",0.0532484924582624,0.00726724786928218,2.35031754053856e-13,8.18569889581258e-09,0.214864539366822,"++++",2.35031754053856e-13,4.60534503296615e-09,0.0150416173101137,0.0206463237595817,0.469977579874056,0.999927573044146,0.0547615724753461,0.0128680071375355,5.05471629302915e-05,0.0935880553545283,0.0542737749456248,0.0141046534712868,0.000189599987332874,0.1635479,0.0668893144033945,0.0134558162771431,8.50743918398339e-07,0.02825798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg16406967","chr7",27155036,27155037,"HOXA2 (-12607); HOXA3 (+4177)","5'UTR;TSS1500","NM_030661;NM_153631;NM_153632","HOXA3","Island","Repressed PolyComb",0.0745456110091436,0.0102209183254134,3.02148866076704e-13,2.62361470020317e-06,0.0772653941649324,"++++",3.02148866076704e-13,5.67378917579661e-09,0.0441462277260156,0.0329321311365127,0.186659125830385,0.999927573044146,0.0705199043400722,0.016489633896438,4.67417521417937e-05,0.0929911124322128,0.13614094161885,0.0265754923719876,1.11976297417132e-06,0.04608144,0.0620682166918008,0.0167678280618363,0.000232191675346225,0.273190904603613,0,1,0,0,1,0,0,1,0,1,1,0,0,1
"cg23120601","chr15",40583227,40583228,"PLCB2 (+16895); PAK6 (+51607)","Body","NM_004573","PLCB2","Island","Active TSS",0.0709212823309347,0.00975743077623718,3.63667526821566e-13,6.675696698446e-13,0.383428889131375,"++++",3.63667526821566e-13,6.07021713519664e-09,0.0575834248138943,0.0302722325803293,0.063418783600838,0.999927573044146,0.0674344023042207,0.0183391931278203,0.000398833162473161,0.173711302232622,0.110332009232395,0.0248698226302381,1.99428689201881e-05,0.07927086,0.0628755635635124,0.014400698838165,1.46878646540918e-05,0.09856507,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"cg23859635","chr2",42795262,42795263,"MTA3 (-394)","TSS1500","NM_020744","MTA3","N_Shore","Flanking Active TSS",0.0559527834234704,0.00770380465336325,3.78579679762682e-13,5.04919719908547e-12,0.354607967033697,"++++",3.78579679762682e-13,6.0934427563231e-09,0.0488127893094801,0.0292610426794199,0.102073421764671,0.999927573044146,0.06786872695032,0.0131762915619612,1.4931368287266e-06,0.037394201690675,0.0705557416350423,0.017717758531952,0.000115582599614687,0.1399255,0.0400962191332749,0.0121840392323099,0.00105216395405686,0.4263299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg15645660","chr1",55247356,55247357,"PARS2 (-17170); DHCR24 (+105534)","Body","NM_001114108","TTC22","Island","Repressed PolyComb",0.0858664979527817,0.0118481879864652,4.25393331518847e-13,4.25393331518847e-13,0.547583249505341,"++++",4.25393331518847e-13,6.61083240283642e-09,0.0466294125553182,0.0408944524932782,0.260089356985667,0.999927573044146,0.0873413669155277,0.0211008016148637,7.77087998432365e-05,0.103382479495264,0.115983184650247,0.0286350581683168,8.95019712259842e-05,0.1292304,0.0804484711565339,0.0180773513765557,1.00749325702004e-05,0.079097929247459,1,0,0,0,1,0,0,0,0,1,1,0,0,1
"cg05157625","chr14",93153553,93153554,"LGMN (+61470); RIN3 (+173436)","Body","NM_024832","RIN3","Island","Active TSS",0.0869248717488621,0.0120290790602876,4.96592596324369e-13,4.96592596324369e-13,0.959098376928316,"++++",4.96592596324369e-13,7.46006227828284e-09,0.0794572556870983,0.0503694738553377,0.121536253653899,0.999927573044146,0.0816444274988403,0.0187861769306186,3.60290273828868e-05,0.0861156574446269,0.0842509033108028,0.0275176233241168,0.00269908099685733,0.3484628,0.0959981359787564,0.0205731873663501,3.72004006581317e-06,0.05101331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg15911153","chr5",138730783,138730784,"MZB1 (-5181); SPATA24 (+8973)","1stExon;5'UTR","NM_001161546","LOC389333","Island","Active TSS",0.0434152868679441,0.00604022479431903,6.5894788519208e-13,1.40671192514325e-12,0.381547308256104,"++++",6.5894788519208e-13,9.3733927501813e-09,0.0436029498462346,0.0215820880117466,0.049194142377666,0.999927573044146,0.0379980747929496,0.00961606113349419,0.000153167361509267,0.127560495656558,0.071630060459625,0.0173752157588778,6.80675788226049e-05,0.1188892,0.0402472920839878,0.00947653270761933,2.47878289488505e-05,0.118151346169005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg08101036","chr7",27153655,27153656,"HOXA2 (-11226); HOXA3 (+5558)","5'UTR;TSS200","NM_030661;NM_153631;NM_153632","HOXA3","N_Shore","Repressed PolyComb",0.0895361743295737,0.0124592326474963,6.65554042282801e-13,1.22699723689452e-07,0.160136241538188,"++++",6.65554042282801e-13,9.3733927501813e-09,0.0529458424664181,0.038169114684168,0.17208433849769,0.999927573044146,0.108884994589325,0.0217192757813434,2.62381218712332e-06,0.0504055760155087,0.135618075336723,0.0320578268150956,4.49343531020117e-05,0.1044714,0.0667238075065383,0.0193795532702097,0.000611824384429612,0.356047984730269,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"cg24040595","chr7",27185512,27185513,"HOXA5 (-2226)","Body","NM_024014","HOXA6","Island","Repressed PolyComb",0.0542339627189234,0.00755287075115835,6.941830905621e-13,1.73831424402503e-06,0.146188747541173,"++++",6.941830905621e-13,9.48033225269922e-09,0.0246763740154644,0.0238246579688987,0.30573350674269,0.999927573044146,0.0720466670598872,0.0114030576276273,9.58844620130932e-09,0.00432240442842683,0.0551726269075488,0.0195838618528146,0.00563824528480649,0.4115327,0.0382627778020691,0.0135208314323549,0.00479827230001793,0.620217161543458,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"cg11859982","chr7",127907529,127907530,"LEP (+26193); RBM28 (+76432)",NA,NA,NA,"N_Shelf","Active TSS",0.0513079659396546,0.00716201260544981,7.84117086232476e-13,6.29630530653437e-08,0.182303650330255,"++++",7.84117086232476e-13,1.03935872893477e-08,0.0510418113573962,0.0267301306966107,0.0624427577437188,0.999927573044146,0.0609288722965355,0.0118193196717543,1.46746640840291e-06,0.037394201690675,0.0663165581789563,0.0145425808036383,1.20941426093296e-05,0.06612574,0.0288458991105868,0.0126909068498532,0.0233507822445224,0.8092171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg12234455","chr19",49220235,49220236,"MAMSTR (+2742); FUT2 (+21004)","Body;TSS200","NM_001130915;NM_182574","MAMSTR","N_Shelf","Flanking Active TSS",0.0637314825703465,0.00891057496792324,8.53094911016525e-13,5.29807171913865e-09,0.239449196611671,"++++",8.53094911016525e-13,1.09848156863535e-08,0.0486369753140149,0.0331401249712737,0.149013240961773,0.999927573044146,0.0461991637463679,0.0147267791640699,0.00229918975494276,0.309384532050513,0.0976591578226638,0.0214673964347735,1.26472293593928e-05,0.06622409,0.0680067870603148,0.0142807580380337,2.35852809206197e-06,0.04427911,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"cg21663431","chr19",10736355,10736356,"SLC44A2 (+422)","Body","NM_001145056;NM_020428","SLC44A2","Island","Active TSS",0.064009257571965,0.00898405626490659,1.04261117468109e-12,2.22090524951226e-07,0.130815005482177,"++++",1.04261117468109e-12,1.3052188643039e-08,0.0699036212934415,0.0282416817733197,0.0170616149987319,0.999927573044146,0.0596070550736315,0.0141372938960389,5.85007907017444e-05,0.0966685351450836,0.11008949252392,0.022644906771679,3.45224926786403e-06,0.04608144,0.0460222981142958,0.015463082522811,0.00302503335114964,0.5546365,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"cg04157161","chr17",7906847,7906848,"GUCY2D (+936)","Body","NM_000180","GUCY2D","Island","Bivalent Enhancer",0.0585906927745759,0.00826956316675776,1.38942625375742e-12,1.34199594761254e-07,0.177666178307481,"++++",1.38942625375742e-12,1.69237750516791e-08,0.0611716584272948,0.0276298126566324,0.0318271541823996,0.999927573044146,0.0329348875472796,0.0147422696758963,0.0279298635014989,0.591051183000043,0.0826452477346738,0.0207745792567858,0.00011778822243742,0.1418056,0.0678061956180623,0.0125051057796484,8.2756562610187e-08,0.006159853,1,0,0,0,1,0,0,0,0,1,0,0,0,1
"cg22507723","chr12",58131768,58131769,"AGAP2 (+260)","1stExon;Body","NM_001122772;NM_014770","AGAP2","Island","Bivalent/Poised TSS",0.0695010668738686,0.00987436135481889,1.94267431368306e-12,8.95366365752001e-09,0.23381531275669,"++++",1.94267431368306e-12,2.30398617452399e-08,0.0580351869577409,0.0348033565432294,0.102206526856211,0.999927573044146,0.077045081027338,0.0171244202497148,2.01091986601469e-05,0.0768090160004329,0.110378702506773,0.0254994018875085,3.05940236268657e-05,0.09363689,0.0518484182670672,0.0149362489802775,0.000551843461678348,0.343354,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"cg03308399","chr7",27146237,27146238,"HOXA2 (-3808)","3'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island","Repressed PolyComb",0.0577778265207703,0.00822294224889411,2.11903554896419e-12,2.11903554896419e-12,0.859696574720403,"++++",2.11903554896419e-12,2.38749086507359e-08,0.0681074134991084,0.0313815816386638,0.0351832484416595,0.999927573044146,0.0511418020949698,0.0128910651549665,0.000144819074889521,0.125363962686909,0.070518326517359,0.0205684408725978,0.000824466082192228,0.2548611,0.0576533597752647,0.0136177568271064,2.62660014803055e-05,0.12327976344783,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"cg05851442","chr7",27153212,27153213,"HOXA2 (-10783); HOXA3 (+6001)","5'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island","Repressed PolyComb",0.0359788822002632,0.00511925827310416,2.09299456932426e-12,2.23014880422884e-06,0.0674317691692286,"++++",2.09299456932426e-12,2.38749086507359e-08,0.0695332273298446,0.0185646885441898,0.000500248878455258,0.999927573044146,0.0369426888340607,0.00922946085382237,0.000127542172807222,0.122145452328821,0.0552816927349893,0.0145818538264516,0.000232945332692694,0.1752171,0.0253775680179119,0.00729052004341732,0.000532814925764218,0.340829007440411,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"cg24550149","chr1",55246954,55246955,"PARS2 (-16768); DHCR24 (+105936)","Body","NM_001114108","TTC22","Island","Repressed PolyComb",0.054687675459347,0.00780642046315661,2.46151073553286e-12,2.82029111165315e-10,0.308460526334509,"++++",2.46151073553286e-12,2.64326606205776e-08,0.0460951706163639,0.025945979916994,0.0822505924166145,0.999927573044146,0.055961005296432,0.013250066324748,5.69703284861638e-05,0.0966685351450836,0.0844421780328572,0.0187899029379733,1.59123135223721e-05,0.07115477,0.0423725271555595,0.0125041263457875,0.000744260034877279,0.383788005879915,0,1,0,0,1,0,0,0,0,1,1,0,0,1
"cg01287088","chr5",176827392,176827393,"PFN3 (+244)","1stExon","NM_001029886","PFN3","Island","Bivalent Enhancer",0.0453936136021271,0.00647983170286022,2.46335329464528e-12,2.46335329464528e-12,0.401383100030862,"++++",2.46335329464528e-12,2.64326606205776e-08,0.0693870723587244,0.0238363565843573,0.0055382879018189,0.999927573044146,0.0354995941207578,0.0117088944080573,0.00316586620051245,0.34207821719262,0.0663711645600987,0.0194974543239131,0.000894706027760687,0.258402606735174,0.0433127637249335,0.00907906276477218,2.26441433009257e-06,0.0442791089450711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg00510320","chr16",67686943,67686944,"ACD (+7702); RLTPR (+8122)","Body","NM_001013838","RLTPR","Island","Active TSS",0.0895579352461839,0.0128004471701739,2.62493317166284e-12,2.62493317166284e-12,0.399996315872865,"++++",2.62493317166284e-12,2.75114362125383e-08,0.0476178777892369,0.0506470675642725,0.352031163560641,0.999927573044146,0.109807146791239,0.0208056467698448,8.81646236743242e-07,0.0299880057106433,0.10232414418965,0.0273209428368414,0.000276425735931437,0.185694379750519,0.0665225841742135,0.022014444211429,0.00261071778779181,0.5307693,0,0,1,0,1,0,0,0,0,0,0,1,0,1
